source,query,link_name,method,components,crossings,volume,solution_type,mark,is_brunnian,is_borromean,error
ht_table,L14a24828,L14a24828,simplify,3,14,20.49839,all tetrahedra positively oriented,,True,True,
ht_table,L14a24829,L14a24829,simplify,3,14,13.569512,all tetrahedra positively oriented,,True,True,
ht_table,L14a29307,L14a29307,simplify,3,14,27.261833,all tetrahedra positively oriented,,True,True,
ht_table,L14a29424,L14a29424,simplify,3,14,26.681328,all tetrahedra positively oriented,,True,True,
ht_table,L14a29426,L14a29426,simplify,3,14,26.087307,all tetrahedra positively oriented,,True,True,
ht_table,L14a29598,L14a29598,simplify,3,14,23.741892,all tetrahedra positively oriented,,True,True,
ht_table,L14a29599,L14a29599,simplify,3,14,26.976104,all tetrahedra positively oriented,,True,True,
ht_table,L14a29605,L14a29605,simplify,3,14,21.511101,all tetrahedra positively oriented,,True,True,
ht_table,L14a29611,L14a29611,simplify,3,14,23.805713,all tetrahedra positively oriented,,True,True,
ht_table,L14a29616,L14a29616,simplify,3,14,17.985206,all tetrahedra positively oriented,,True,True,
ht_table,L14a29762,L14a29762,simplify,3,14,28.975106,all tetrahedra positively oriented,,True,True,
ht_table,L14a29896,L14a29896,simplify,3,14,28.152751,all tetrahedra positively oriented,,True,True,
ht_table,L14a29897,L14a29897,simplify,3,14,28.483717,all tetrahedra positively oriented,,True,True,
ht_table,L14a30835,L14a30835,simplify,4,14,24.885042,all tetrahedra positively oriented,,False,True,
ht_table,L14a30908,L14a30908,simplify,4,14,26.06022,all tetrahedra positively oriented,,False,True,
ht_table,L14a31782,L14a31782,simplify,5,14,27.626557,all tetrahedra positively oriented,,False,True,
ht_table,L14n43422,L14n43422,simplify,3,14,18.380304,all tetrahedra positively oriented,,True,True,
ht_table,L14n49573,L14n49573,simplify,3,14,19.269538,all tetrahedra positively oriented,*,True,True,
ht_table,L14n50824,L14n50824,simplify,3,14,19.269538,all tetrahedra positively oriented,*,True,True,
ht_table,L14n54478,L14n54478,simplify,3,14,13.465864,contains degenerate tetrahedra,,True,True,
ht_table,L14n56195,L14n56195,simplify,3,14,19.352634,all tetrahedra positively oriented,,True,True,
ht_table,L14n58198,L14n58198,simplify,3,14,21.733843,all tetrahedra positively oriented,**,True,True,
ht_table,L14n58424,L14n58424,simplify,3,14,22.228495,all tetrahedra positively oriented,***,True,True,
ht_table,L14n58426,L14n58426,simplify,3,14,22.160779,all tetrahedra positively oriented,,True,True,
ht_table,L14n58595,L14n58595,simplify,3,14,15.636551,all tetrahedra positively oriented,,True,True,
ht_table,L14n58606,L14n58606,simplify,3,14,20.80469,all tetrahedra positively oriented,,True,True,
ht_table,L14n58612,L14n58612,simplify,3,14,21.482774,all tetrahedra positively oriented,,True,True,
ht_table,L14n58669,L14n58669,simplify,3,14,20.143566,all tetrahedra positively oriented,****,True,True,
ht_table,L14n58802,L14n58802,simplify,3,14,21.631599,all tetrahedra positively oriented,,True,True,
ht_table,L14n58803,L14n58803,simplify,3,14,21.733843,all tetrahedra positively oriented,**,True,True,
ht_table,L14n58924,L14n58924,simplify,3,14,22.228495,all tetrahedra positively oriented,***,True,True,
ht_table,L14n58925,L14n58925,simplify,3,14,20.143566,all tetrahedra positively oriented,****,True,True,
ht_table,L14n58956,L14n58956,simplify,3,14,20.143566,all tetrahedra positively oriented,****,True,True,
ht_table,L14n59991,L14n59991,simplify,4,14,17.477141,all tetrahedra positively oriented,,False,True,
ht_table,L14n61953,L14n61953,simplify,4,14,19.951417,all tetrahedra positively oriented,,False,True,
ht_table,L14n62224,L14n62224,simplify,4,14,12.276278,contains degenerate tetrahedra,,False,True,
ht_table,L14n62566,L14n62566,simplify,4,14,14.65545,contains degenerate tetrahedra,*****,True,True,
ht_table,L14n63195,L14n63195,simplify,4,14,14.65545,contains degenerate tetrahedra,*****,True,True,
ht_table,L14n63856,L14n63856,simplify,5,14,21.983174,all tetrahedra positively oriented,,False,True,
ht_table,L14n64050,L14n64050,simplify,5,14,7.327725,contains degenerate tetrahedra,,False,True,
